2026-06-12 08:21:04.651,rp00.00,ln00.00,b56.79,v11.27,
2026-06-12 08:21:04.848,rp00.00,ln00.00,b58.29,v11.33,
2026-06-12 08:21:04.851,rp00.00,ln00.00,b58.29,v11.33,
2026-06-12 08:21:05.048,rp00.00,ln00.00,b58.29,v11.33,
2026-06-12 08:21:05.051,rp00.00,ln00.00,b58.29,v11.33,
2026-06-12 08:21:05.248,rp00.00,ln00.00,b58.29,v11.33,
2026-06-12 08:21:05.251,rp00.00,ln00.00,b58.29,v11.33,
2026-06-12 08:21:05.448,rp00.00,ln00.00,b57.28,v11.29,
2026-06-12 08:21:05.451,rp00.00,ln00.00,b57.28,v11.29,
2026-06-12 08:21:05.648,rp00.00,ln00.00,b57.28,v11.29,
2026-06-12 08:21:05.651,rp00.00,ln00.00,b57.28,v11.29,
2026-06-12 08:21:05.848,rp00.00,ln00.00,b57.28,v11.29,
2026-06-12 08:21:05.851,rp00.00,ln00.00,b57.28,v11.29,
2026-06-12 08:21:06.048,rp00.00,ln00.00,b57.66,v11.31,
2026-06-12 08:21:06.051,rp00.00,ln00.00,b57.66,v11.31,
2026-06-12 08:21:06.248,rp00.00,ln00.00,b57.66,v11.31,
2026-06-12 08:21:06.251,rp00.00,ln00.00,b57.66,v11.31,
2026-06-12 08:21:06.448,rp00.00,ln00.00,b57.66,v11.31,
2026-06-12 08:21:06.451,rp00.00,ln00.00,b57.66,v11.31,
2026-06-12 08:21:06.648,rp00.00,ln00.00,b58.70,v11.35,
2026-06-12 08:21:06.651,rp00.00,ln00.00,b58.70,v11.35,
2026-06-12 08:21:06.848,rp00.00,ln00.00,b58.70,v11.35,
2026-06-12 08:21:06.851,rp00.00,ln00.00,b58.70,v11.35,
2026-06-12 08:21:07.048,rp00.00,ln00.00,b58.70,v11.35,
2026-06-12 08:21:07.051,rp00.00,ln00.00,b58.70,v11.35,
2026-06-12 08:21:07.248,rp00.00,ln00.00,b57.74,v11.31,
2026-06-12 08:21:07.251,rp00.00,ln00.00,b57.74,v11.31,
2026-06-12 08:21:07.447,rp00.00,ln00.00,b57.74,v11.31,
2026-06-12 08:21:07.451,rp00.00,ln00.00,b57.74,v11.31,
2026-06-12 08:21:07.647,rp00.00,ln00.00,b57.74,v11.31,
2026-06-12 08:21:07.651,rp00.00,ln00.00,b57.74,v11.31,
2026-06-12 08:21:07.847,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:07.851,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.047,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.051,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.247,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.251,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.447,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.451,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.647,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.651,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.847,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:08.851,rp00.00,ln00.00,b58.68,v11.35,
2026-06-12 08:21:09.047,rp00.00,ln00.00,b58.06,v11.32,
2026-06-12 08:21:09.051,rp00.00,ln00.00,b58.06,v11.32,
2026-06-12 08:21:09.247,rp00.00,ln00.00,b58.06,v11.32,
2026-06-12 08:21:09.251,rp00.00,ln00.00,b58.06,v11.32,
2026-06-12 08:21:09.447,rp00.00,ln00.00,b58.06,v11.32,
2026-06-12 08:21:09.451,rp00.00,ln00.00,b58.06,v11.32,
2026-06-12 08:21:09.647,rp00.00,ln00.00,b57.18,v11.29,
2026-06-12 08:21:09.651,rp00.00,ln00.00,b57.18,v11.29,
2026-06-12 08:21:09.847,rp00.00,ln00.00,b57.18,v11.29,
2026-06-12 08:21:09.851,rp00.00,ln00.00,b57.18,v11.29,
2026-06-12 08:21:10.047,rp00.00,ln00.00,b57.18,v11.29,
